Date,Price,Open,High,Low,Change %
2017-06-08,3179.0,3179.65,3186.18,3171.29,0.03%
2017-06-09,3176.08,3182.09,3194.89,3155.06,-0.08%
2017-06-12,3172.05,3167.48,3173.36,3159.78,-0.10%
2017-06-13,3185.98,3178.02,3187.55,3174.23,0.45%
2017-06-14,3182.55,3190.25,3190.25,3170.02,-0.10%
2017-06-15,3175.2,3164.24,3177.03,3156.93,-0.22%
2017-06-16,3175.82,3173.21,3175.82,3162.37,0.03%
2017-06-19,3201.41,3187.19,3201.8,3186.14,0.83%
2017-06-20,3179.58,3197.45,3197.45,3179.06,-0.67%
2017-06-21,3177.45,3182.28,3186.06,3171.06,-0.06%
2017-06-22,3175.72,3179.5,3184.98,3174.15,-0.05%
2017-06-23,3180.38,3175.68,3184.42,3170.99,0.16%
2017-06-26,3180.52,3186.0,3195.26,3177.78,0.03%
2017-06-27,3154.54,3176.57,3181.66,3154.54,-0.81%
2017-06-28,3182.01,3166.36,3185.01,3165.45,0.88%
2017-06-29,3154.33,3183.92,3184.32,3136.08,-0.86%
2017-06-30,3158.86,3166.42,3170.98,3156.64,0.15%
2017-07-03,3165.26,3168.39,3178.56,3164.87,0.23%
2017-07-05,3169.23,3167.01,3172.35,3155.68,0.14%
2017-07-06,3139.36,3157.07,3158.25,3136.62,-0.93%
2017-07-07,3159.12,3143.88,3161.34,3143.88,0.64%
2017-07-10,3161.09,3157.32,3167.08,3154.45,0.09%
2017-07-11,3158.32,3160.67,3163.27,3141.79,-0.08%
2017-07-12,3181.07,3171.44,3184.46,3171.44,0.73%
2017-07-13,3186.76,3183.11,3188.71,3178.82,0.19%
2017-07-14,3201.43,3188.28,3206.9,3185.03,0.47%
